Protein IDs	Peptide counts (razor+unique)	Unique peptides	Peptides Walker TMT16	Unique peptides Walker TMT16	Q-value	Score	Identification type Walker TMT16	Reporter intensity corrected 1 Walker TMT16	Reporter intensity corrected 2 Walker TMT16	Reporter intensity corrected 3 Walker TMT16	Reporter intensity corrected 4 Walker TMT16	Reporter intensity corrected 5 Walker TMT16	Reporter intensity corrected 6 Walker TMT16	Reporter intensity corrected 7 Walker TMT16	Reporter intensity corrected 8 Walker TMT16	Reporter intensity corrected 9 Walker TMT16	Reporter intensity corrected 10 Walker TMT16	Reporter intensity corrected 11 Walker TMT16	Reporter intensity corrected 12 Walker TMT16	Reporter intensity corrected 13 Walker TMT16	Reporter intensity corrected 14 Walker TMT16	Reporter intensity corrected 15 Walker TMT16	Reporter intensity corrected 16 Walker TMT16	Only identified by site	Reverse	Potential contaminant	Peptide IDs
AT1G03475.1;AT4G03205.1;AT4G03205.2	12;2;2	12	12	12	0	127.64	By MS/MS	821060	776790	916780	861540	691250	642110	696200	656500	739600	727510	646090	754450	705500	849290	783310	696010				168;904;1747;3570;6091;8606;9321;12041;14399;20141;21084;21393
AT1G03600.1	3	3	3	3	0	23.169	By MS/MS	307320	287000	339050	326410	286530	288190	279300	270960	295420	287060	291510	278290	250810	287840	272000	253060				4186;9649;17901
AT1G03630.2;AT1G03630.1	15;15	14	19	14	0	301.58	By MS/MS	1721700	1699900	2106200	1992400	1552200	1477200	1606900	1450900	1638300	1690300	1513000	1766100	1582600	1948000	1767400	1555500				1510;4825;7969;8538;8869;8870;10632;10778;11229;12095;12148;12149;13137;13591;14961;15791;16555;18037;21109
AT1G03680.1	7	7	7	7	0	180.42	By MS/MS	1641800	1543000	1695100	1741900	1570800	1597100	1468700	1450000	1486500	1556100	1463600	1434300	1455000	1558100	1610700	1395600				323;3719;3728;10510;12363;13578;16643
AT1G03830.1;AT1G03830.2	1;1	1	1	1	0.004715	6.0697	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				16312
AT1G03860.1;AT1G03860.3;AT1G03860.2	7;7;5	4	7	4	0	66.757	By MS/MS	98180	97869	101830	97619	80564	81917	88055	82931	90023	88853	77816	80164	80606	105380	86649	86880				2321;4623;4847;16385;18372;20393;21033
AT1G03870.1	1	1	2	1	0.00076805	9.8127	By MS/MS	49051	44597	49429	48970	46793	40205	43200	40008	47706	45944	42216	41055	38674	47445	44092	41560				11913;21864
AT1G03900.1	1	1	1	1	0.00094007	7.6331	By MS/MS	34155	36433	37813	29135	27102	26629	29779	29790	28902	32736	25565	30797	25214	31028	29285	29334				5454
AT1G03970.1	1	1	1	1	0.0015204	6.7514	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				578
AT1G04040.1	1	1	2	1	0.00094096	7.6463	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				9369;9827
AT1G04080.2;AT1G04080.1;AT1G04080.3	5;5;5	5	5	5	0	150.08	By MS/MS	123350	83296	114660	85507	106100	84581	100510	95445	121730	116200	91169	124710	93259	139510	136420	84627				4869;5073;15872;15887;21835
AT1G04090.1	1	1	1	1	0.0017309	6.6956	By MS/MS	40023	38518	66492	56292	32331	39741	38104	33761	35460	34519	50390	50442	31569	38621	32728	34537				4476
AT1G04110.1	1	1	1	1	0	14.121	By MS/MS	14012	13305	16191	14408	11681	8240.6	8010.2	9594	11989	11043	8207.5	14329	10775	17608	15559	13871				7777
AT1G04130.1	2	2	2	2	0	13.682	By MS/MS	30763	23318	31583	28213	21234	21247	25543	21193	28380	23486	23477	30253	23524	27054	20978	25055				1366;8492
AT1G04170.1	5	5	5	5	0	56.512	By MS/MS	455390	421780	468030	447770	446870	411090	438850	424560	422770	440030	363790	415860	422210	501870	486670	434010				4378;6592;7738;14075;16347
AT1G04190.1	2	2	2	2	0	12.467	By MS/MS	6574.3	5923.6	8477	7133.7	6218.8	5536.7	5344.6	5678.7	6309.3	5103.6	5947.7	6857.2	5155.6	7336.1	6340.5	5104.5				14;1675
